,org_name,group_PAC_ID,state,ACO_PC_ID_1,ACO_name_1,ACO_PC_ID_2,ACO_name_2,measure_code,measure_title,inverse_measure,measure_performance_rate,denominator_count,star_value,five_star_benchmark,collection_type,from_PC_livesite
105,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_318_overall,Falls: Screening for Future Fall Risk,N,78.0,613.0,4.0,99.0,WI,Y
106,ST MARYS REGIONAL MEDICAL CENTER,42107120,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,90.0,568.0,None,None,ATT,N
107,ST MARYS REGIONAL MEDICAL CENTER,42107120,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,15.0,52.0,None,None,ATT,N
108,ST MARYS REGIONAL MEDICAL CENTER,42107120,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,94.0,121.0,None,None,ATT,N
109,ST MARYS REGIONAL MEDICAL CENTER,42107120,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,73.0,338.0,None,None,ATT,N
110,ST MARYS REGIONAL MEDICAL CENTER,42107120,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,4.0,338.0,None,None,ATT,N
115,ST MARYS REGIONAL MEDICAL CENTER,42107120,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,36.0,338.0,None,None,ATT,N
116,ST MARYS REGIONAL MEDICAL CENTER,42107120,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,36.0,338.0,None,None,ATT,N
124,MOUNT DESERT ISLAND HOSPITAL,941250963,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_EP_1,e-Prescribing,N,15.0,155.0,None,None,ATT,N
125,MOUNT DESERT ISLAND HOSPITAL,941250963,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,54.0,194.0,None,None,ATT,N
126,MOUNT DESERT ISLAND HOSPITAL,941250963,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,86.0,309.0,None,None,ATT,N
127,MOUNT DESERT ISLAND HOSPITAL,941250963,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,7.0,244.0,None,None,ATT,N
128,MOUNT DESERT ISLAND HOSPITAL,941250963,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,68.0,244.0,None,None,ATT,N
130,MOUNT DESERT ISLAND HOSPITAL,941250963,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,83.0,245.0,None,None,ATT,N
131,ST JOSEPH HOSPITAL,6406766336,ME,A2831,"Community Care Partnership of Maine, LLC",None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,90.0,137990.0,None,None,ATT,N
132,ST JOSEPH HOSPITAL,6406766336,ME,A2831,"Community Care Partnership of Maine, LLC",None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,12.0,8045.0,None,None,ATT,N
133,ST JOSEPH HOSPITAL,6406766336,ME,A2831,"Community Care Partnership of Maine, LLC",None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,93.0,18089.0,None,None,ATT,N
134,ST JOSEPH HOSPITAL,6406766336,ME,A2831,"Community Care Partnership of Maine, LLC",None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,74.0,42979.0,None,None,ATT,N
135,ST JOSEPH HOSPITAL,6406766336,ME,A2831,"Community Care Partnership of Maine, LLC",None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,10.0,41248.0,None,None,ATT,N
140,ST JOSEPH HOSPITAL,6406766336,ME,A2831,"Community Care Partnership of Maine, LLC",None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,36.0,41248.0,None,None,ATT,N
141,ST JOSEPH HOSPITAL,6406766336,ME,A2831,"Community Care Partnership of Maine, LLC",None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,19.0,41248.0,None,None,ATT,N
142,YORK HOSPITAL,6406766781,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,42.0,30510.0,None,None,ATT,N
143,YORK HOSPITAL,6406766781,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,8.0,2834.0,None,None,ATT,N
144,YORK HOSPITAL,6406766781,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,77.0,3619.0,None,None,ATT,N
145,YORK HOSPITAL,6406766781,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,87.0,23431.0,None,None,ATT,N
146,YORK HOSPITAL,6406766781,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,16.0,23431.0,None,None,ATT,N
150,YORK HOSPITAL,6406766781,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,3.0,23431.0,None,None,ATT,N
151,YORK HOSPITAL,6406766781,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,40.0,23431.0,None,None,ATT,N
152,RUMFORD HOSPITAL,3870583511,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,84.0,86.0,None,None,ATT,N
153,RUMFORD HOSPITAL,3870583511,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,84.0,86.0,None,None,ATT,N
154,RUMFORD HOSPITAL,3870583511,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,99.0,217.0,None,None,ATT,N
155,RUMFORD HOSPITAL,3870583511,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,71.0,450.0,None,None,ATT,N
156,RUMFORD HOSPITAL,3870583511,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,2.0,450.0,None,None,ATT,N
160,RUMFORD HOSPITAL,3870583511,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,24.0,497.0,None,None,ATT,N
161,RUMFORD HOSPITAL,3870583511,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,1.0,450.0,None,None,ATT,N
164,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,94.0,75535.0,None,None,ATT,N
165,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,22.0,7033.0,None,None,ATT,N
166,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,96.0,82066.0,None,None,ATT,N
167,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,97.0,37498.0,None,None,ATT,N
168,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,8.0,37498.0,None,None,ATT,N
172,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,19.0,37498.0,None,None,ATT,N
173,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,7.0,37498.0,None,None,ATT,N
174,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_65+,Medication Reconciliation Post-Discharge,N,49.0,37.0,None,None,WI,N
175,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_overall,Medication Reconciliation Post-Discharge,N,48.0,56.0,None,None,WI,N
176,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_110_overall,Preventive Care and Screening: Influenza Immunization,N,82.0,213.0,4.0,94.0,WI,Y
177,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_111_overall,Pneumococcal Vaccination Status for Older Adults,N,83.0,248.0,4.0,94.0,WI,Y
178,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_113_overall,Colorectal Cancer Screening,N,71.0,248.0,4.0,84.0,WI,Y
179,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_134_overall,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,96.0,248.0,5.0,91.0,WI,Y
180,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_226_overall,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,100.0,269.0,5.0,100.0,WI,Y
181,EASTERN MAINE HEALTHCARE SYSTEMS INLAND HOSPITAL,6305817503,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_318_overall,Falls: Screening for Future Fall Risk,N,99.0,249.0,5.0,99.0,WI,Y
182,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,8921990193,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,98.0,12006.0,None,None,ATT,N
183,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,8921990193,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,6.0,1179.0,None,None,ATT,N
184,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,8921990193,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,84.0,1556.0,None,None,ATT,N
185,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,8921990193,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,99.0,6543.0,None,None,ATT,N
186,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,8921990193,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,28.0,6543.0,None,None,ATT,N
191,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,8921990193,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,97.0,6448.0,None,None,ATT,N
192,STEPHENS MEMORIAL HOSPITAL ASSOCIATION,8921990193,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,29.0,6543.0,None,None,ATT,N
193,BLUE HILL MEMORIAL HOSPITAL,7911991336,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_EP_1,e-Prescribing,N,93.0,26141.0,None,None,ATT,N
194,BLUE HILL MEMORIAL HOSPITAL,7911991336,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,26.0,3133.0,None,None,ATT,N
195,BLUE HILL MEMORIAL HOSPITAL,7911991336,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,94.0,31732.0,None,None,ATT,N
196,BLUE HILL MEMORIAL HOSPITAL,7911991336,ME,A3151,"Beacon Rural Health, LLC",V131,Beacon Health LLC,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,98.0,15627.0,None,None,ATT,N
