Organization legal name,Group PAC ID, State,Measure Code,Measure Title,Measure Performance Rate,Denominator Count, Footnote
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,68,,
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,86,,
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,93,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",78,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,32,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,53,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,93,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,93,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,62,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,87,,
"ATHENS MEDICAL ASSOCIATES, LLC",9537112685,OH,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,96,,
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",,,1
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,,,1
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,,,1
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,,,1
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,,,1
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,,,1
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,,,1
BRIGHAM and WOMENS HOSPITAL INC,4385554732,MA,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,,,1
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",76,,
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,24,,
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,49,,
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,92,,
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,91,,
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,66,,
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,86,,
"HARBOR MEDICAL ASSOCIATES, INC.",2466356209,MA,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",79,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,20,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,54,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,93,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,92,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,61,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,86,,
SIGNATURE HEALTHCARE MEDICAL GROUP INC,7719876267,MA,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,93,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",83,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,23,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,55,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,95,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,95,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,70,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,90,,
BRIGHAM AND WOMENS PHYSICIANS ORGANIZATION INC,3870405988,MA,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,91,,
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",82,,
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,,,1
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,,,1
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,,,1
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,,,1
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,,,1
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,,,1
"CONNECTICUT ORTHOPAEDIC SPECIALISTS, PC",7315850039,CT,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,93,,
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",82,,
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,,,1
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,69,,
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,95,,
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,96,,
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,69,,
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,91,,
MEMORIAL SOLID TUMOR GROUP,4082503354,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,96,,
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",,,1
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,,,1
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,,,1
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,,,1
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,,,1
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,,,1
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,,,1
MEMORIAL SLOAN-KETTERING CANCER CENTER AT ST FRANCIS MERCY,7618867821,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,,,1
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",82,,
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,26,,
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,51,,
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,95,,
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,94,,
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,67,,
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,87,,
ALBANY MEDICAL COLLEGE,1759293111,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",81,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,21,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,42,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,92,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,91,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,62,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,85,,
COLUMBIA MEMORIAL HOSPITAL,5092709410,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",80,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,20,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,46,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,92,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,91,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,63,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,85,,
"COMMUNITY CARE PHYSICIANS, PC",8022904473,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92,,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,58,,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,61,,
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,,,1
BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA OU PHYSICIANS TULSA,5395645329,OK,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,,,1
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",77,,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,27,,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,47,,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,91,,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,90,,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,59,,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,85,,
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1254237779,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,91,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",83,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,24,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,58,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,93,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,92,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,64,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,86,,
HIGHLAND HOSPITAL OF ROCHESTER,5496641631,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,94,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",86,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,29,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,48,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,94,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,93,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,69,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,88,,
UNIVERSITY OF ROCHESTER,5799699088,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,96,,
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",86,,
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,,,1
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,,,1
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,93,,
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,94,,
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,,,1
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,87,,
STRONG MEDICAL GROUP,6608850987,NY,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,94,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",84,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,28,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,64,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,95,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,93,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,60,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,91,,
INTEGRIS AMBULATORY CARE CORPORATION,2365408465,OK,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,94,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",83,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,29,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,55,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,93,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,93,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,54,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,87,,
BRYAN PHYSICIAN NETWORK,7315915873,NE,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",81,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,28,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,59,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,94,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,93,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,60,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,87,,
MCLEOD PHYSICIAN ASSOCIATES II,8224031307,SC,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,94,,
"CENTRA MEDICAL GROUP, LLC",4789606088,VA,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",78,,
